X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
404576.6106,135950.7853,25151665,2025/10/04 23:07:36+00,EVENING,GUN,ROBBERY,100 - 199 BLOCK OF 40TH STREET NE,404576.6106,135950.7853,7,7F,6,603,Cluster 32,009603 1,9603,Precinct 102,38.89138946,-76.94724632,,2025/10/04 21:34:00+00,2025/10/04 22:00:00+00,811060364,
396163.7,139534.46,25151543,2025/10/05 01:16:46+00,EVENING,OTHERS,THEFT/OTHER,2600 - 2699 BLOCK OF ADAMS MILL ROAD NW,396163.7,139534.46,1,1C,3,303,Cluster 1,003902 1,3902,Precinct 35,38.92367598,-77.04424029,,2025/10/04 18:48:00+00,2025/10/04 18:49:00+00,811060365,
397162.19,140627.97,25151179,2025/10/03 23:14:59+00,EVENING,OTHERS,THEFT F/AUTO,3451 - 3472 BLOCK OF 14TH STREET NW,397162.19,140627.97,1,1A,4,408,Cluster 2,002900 2,2900,Precinct 41,38.93353045,-77.03273021,,2025/09/20 20:00:00+00,2025/09/20 21:17:00+00,811060366,
397162.06,140182.43,25151402,2025/10/04 12:23:03+00,DAY,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,2802,Precinct 39,38.92951689,-77.03272986,,2025/10/04 11:14:00+00,2025/10/04 11:55:00+00,811060367,
399337.01,138221.09,25151443,2025/10/04 14:42:27+00,DAY,OTHERS,THEFT/OTHER,2 - 99 BLOCK OF QUINCY PLACE NE,399337.01,138221.09,5,5F,5,502,Cluster 21,008701 1,8701,Precinct 75,38.91185283,-77.00764435,,2025/10/04 14:13:00+00,2025/10/04 14:44:00+00,811060372,
400008.46,143011.38,25151560,2025/10/05 01:03:57+00,EVENING,OTHERS,THEFT/OTHER,5400 - 5499 BLOCK OF SOUTH DAKOTA AVENUE NE,400008.46,143011.38,5,5A,4,406,Cluster 19,009508 1,9508,Precinct 66,38.95500546,-76.9999024,,2025/10/03 21:40:00+00,2025/10/03 22:00:00+00,811060373,
401606.03,136402.24,25424290,2025/10/04 13:01:23+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF ISHERWOOD STREET NE,401606.03,136402.24,7,7D,5,507,Cluster 25,007901 3,7901,Precinct 81,38.89546677,-76.98148655,,2025/10/03 01:00:00+00,2025/10/03 10:30:00+00,811060374,
397138.95,139417.83,25151341,2025/10/04 04:00:00+00,MIDNIGHT,GUN,HOMICIDE,1400 - 1499 BLOCK OF CLIFTON STREET NW,397138.95,139417.83,1,1B,3,304,Cluster 2,003701 1,3701,Precinct 23,38.92262905,-77.0329932,,2025/10/04 04:35:00+00,2025/10/04 04:36:00+00,811060382,
399351.72,137531.68,25151754,2025/10/05 02:27:16+00,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF M STREET NE,399351.72,137531.68,6,6E,5,501,Cluster 25,010603 2,10603,Precinct 144,38.9056424,-77.00747409,NOMA,2025/08/02 16:00:00+00,2025/10/03 13:00:00+00,811060383,
400735,136784.13,25151424,2025/10/04 13:46:02+00,DAY,OTHERS,THEFT F/AUTO,G STREET NE AND 11TH STREET NE,400735,136784.13,6,6A,1,104,Cluster 25,008402 1,8402,Precinct 82,38.89890814,-76.99152691,,2025/09/22 15:55:00+00,2025/09/22 16:00:00+00,811060384,
400702.65,128971.65,25151252,2025/10/04 03:26:34+00,MIDNIGHT,OTHERS,ROBBERY,857 - 890 BLOCK OF SOUTHERN AVENUE SE,400702.65,128971.65,8,8E,7,706,Cluster 39,009811 2,9811,Precinct 125,38.8285301,-76.99190782,,2025/10/03 21:00:00+00,2025/10/04 03:26:00+00,811060387,
404467.84,135424.14,25151663,2025/10/04 22:57:10+00,EVENING,GUN,ROBBERY,3914 - 3932 BLOCK OF C STREET SE,404467.84,135424.14,7,7F,6,603,Cluster 32,007703 2,7703,Precinct 103,38.8866458,-76.94850352,,2025/10/04 22:49:00+00,2025/10/04 22:50:00+00,811060389,
399950.63,139209.98,25151591,2025/10/04 22:03:37+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2300 - 2399 BLOCK OF 4TH STREET NE,399950.63,139209.98,5,5F,5,502,Cluster 21,009204 2,9204,Precinct 74,38.92076133,-77.00056931,,2025/10/04 05:00:00+00,2025/10/04 07:30:00+00,811060390,
396217.89,138008.23,25151670,2025/10/04 23:26:48+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,396217.89,138008.23,2,2B,2,208,Cluster 6,005502 1,5502,Precinct 14,38.90992743,-77.04360696,DUPONT CIRCLE,2025/10/03 22:00:00+00,2025/10/03 22:15:00+00,811060391,
399790.99,137319.58,25424294,2025/10/04 13:01:38+00,DAY,OTHERS,THEFT/OTHER,220 - 299 BLOCK OF L STREET NE,399790.99,137319.58,6,6C,5,501,Cluster 25,010602 4,10602,Precinct 144,38.90373194,-77.00240963,NOMA,2025/10/03 13:45:00+00,2025/10/03 16:05:00+00,811060392,
400541.5,139301.4,25151224,2025/10/03 04:00:00+00,MIDNIGHT,GUN,HOMICIDE,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,400541.5,139301.4,5,5C,5,505,Cluster 22,009102 4,9102,Precinct 72,38.92158471,-76.99375559,,2025/10/03 23:20:00+00,2025/10/03 23:36:00+00,811060393,
398413.28,137185.23,25151256,2025/10/04 21:07:51+00,EVENING,OTHERS,THEFT F/AUTO,444 - 499 BLOCK OF K STREET NW,398413.28,137185.23,6,6E,1,101,Cluster 8,004702 4,4702,Precinct 1,38.90252026,-77.01829266,MOUNT VERNON TRIANGLE CID,2025/10/03 21:00:00+00,2025/10/03 22:50:00+00,811060398,
397430.94,138552.07,25424298,2025/10/04 13:32:35+00,DAY,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF 13TH STREET NW,397430.94,138552.07,1,1B,3,305,Cluster 3,004402 1,4402,Precinct 137,38.91483091,-77.02962278,,2024/11/12 22:30:00+00,2024/11/12 22:30:00+00,811060399,
398099.02,138206.33,25151439,2025/10/04 14:35:23+00,DAY,OTHERS,THEFT/OTHER,1600 - 1623 BLOCK OF 7TH STREET NW,398099.02,138206.33,2,2G,3,307,Cluster 7,004901 2,4901,Precinct 18,38.91171806,-77.02191846,,2025/10/04 14:04:00+00,2025/10/04 14:35:00+00,811060400,
397916.34,134868.08,25423893,2025/09/06 11:01:23+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 9TH STREET SW,397916.34,134868.08,6,6D,1,103,Cluster 9,010202 5,10202,Precinct 142,38.88164548,-77.02401466,SOUTHWEST,2025/08/22 20:40:00+00,2025/08/28 20:40:00+00,811060413,
399531.54,134674.78,25150072,2025/10/01 22:41:30+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,800 - 899 BLOCK OF NEW JERSEY AVENUE SE,399531.54,134674.78,8,8F,1,106,Cluster 27,007203 3,7203,Precinct 131,38.8799065,-77.00539898,CAPITOL RIVERFRONT,2025/10/01 21:41:00+00,,811060485,
396217.89,138008.23,25144603,2025/09/22 01:49:14+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,396217.89,138008.23,2,2B,2,208,Cluster 6,010700 2,10700,Precinct 14,38.90992743,-77.04360696,GOLDEN TRIANGLE,2025/09/21 04:00:00+00,2025/09/21 05:30:00+00,811060580,
395007.45,137489.2,25145371,2025/09/23 12:22:16+00,DAY,OTHERS,THEFT/OTHER,2800 - 2899 BLOCK OF M STREET NW,395007.45,137489.2,2,2E,2,206,Cluster 4,000102 3,102,Precinct 5,38.90524579,-77.05755932,GEORGETOWN,2025/09/23 11:42:00+00,2025/09/23 11:43:00+00,811060581,
392758.87,143179.39,25147851,2025/09/27 19:32:07+00,EVENING,OTHERS,THEFT F/AUTO,5100 - 5199 BLOCK OF WISCONSIN AVENUE NW,392758.87,143179.39,3,3E,2,202,Cluster 11,001004 1,1004,Precinct 31,38.9564891,-77.08354331,FRIENDSHIP HEIGHTS,2025/09/27 18:14:00+00,2025/09/27 19:30:00+00,811060609,
400186.1713,134410.486,25144213,2025/09/21 07:08:53+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,500 - 699 BLOCK OF L STREET SE,400186.1713,134410.486,8,8F,1,106,Cluster 27,007203 2,7203,Precinct 131,38.87752574,-76.99785446,CAPITOL RIVERFRONT,2025/09/21 01:31:00+00,2025/09/21 05:39:00+00,811060622,
400380.01,130628.28,25144737,2025/09/22 02:37:19+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,700 - 709 BLOCK OF ALABAMA AVENUE SE,400380.01,130628.28,8,8C,7,705,Cluster 39,010400 1,10400,Precinct 123,38.84345398,-76.99562264,,2025/09/21 23:24:00+00,2025/09/22 02:21:00+00,811060623,
393468.43,141286.27,25144491,2025/09/21 17:20:10+00,DAY,OTHERS,THEFT F/AUTO,3800 - 3809 BLOCK OF RODMAN STREET NW,393468.43,141286.27,3,3A,2,204,Cluster 14,001002 3,1002,Precinct 29,38.93944091,-77.07533886,,2025/09/21 17:08:00+00,2025/09/21 17:12:00+00,811060663,
397228.84,138674,25145820,2025/09/24 05:36:39+00,MIDNIGHT,OTHERS,THEFT/OTHER,1900 - 1920 BLOCK OF 14TH STREET NW,397228.84,138674,1,1B,3,305,Cluster 3,004402 1,4402,Precinct 22,38.91592868,-77.0319536,,2025/09/24 01:47:00+00,2025/09/24 02:16:00+00,811060664,
394895.4,140924.9,25149390,2025/10/01 00:28:12+00,EVENING,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,1304,Precinct 34,38.93619504,-77.05887669,,2025/09/30 17:40:00+00,2025/09/30 17:52:00+00,811060733,
397115.78,137977.23,25424111,2025/09/24 12:01:35+00,DAY,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,397115.78,137977.23,2,2F,2,208,Cluster 7,005203 2,5203,Precinct 16,38.90965158,-77.03325434,,2025/09/22 17:30:00+00,2025/09/22 18:30:00+00,811060967,
392993.14,139264.96,25423977,2025/09/12 11:03:04+00,DAY,OTHERS,THEFT/OTHER,2300 - 2399 BLOCK OF 41ST STREET NW,392993.14,139264.96,3,3B,2,204,Cluster 14,000300 2,300,Precinct 11,38.92122867,-77.08080049,,2025/09/11 23:28:00+00,2025/09/12 00:20:00+00,811061026,
400433.47,141712.89,25142316,2025/09/18 17:39:44+00,DAY,OTHERS,THEFT F/AUTO,4400 - 4499 BLOCK OF 8TH STREET NE,400433.47,141712.89,5,5A,4,405,Cluster 20,009504 2,9504,Precinct 67,38.9433082,-76.99499984,,2025/09/17 17:33:00+00,2025/09/17 18:21:00+00,811061049,
402886.86,131330.33,25423932,2025/09/10 12:02:36+00,DAY,OTHERS,THEFT/OTHER,2700 - 2899 BLOCK OF SHIPLEY TERRACE SE,402886.86,131330.33,8,8B,7,702,Cluster 36,007408 1,7408,Precinct 115,38.8497737,-76.96674314,,2025/09/09 16:30:00+00,2025/09/09 16:30:00+00,811061057,
399080.39,138386.61,25423982,2025/09/12 13:31:30+00,DAY,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF RANDOLPH PLACE NW,399080.39,138386.61,5,5E,3,308,Cluster 21,003302 2,3302,Precinct 19,38.91334366,-77.01060342,,2025/09/12 01:22:00+00,2025/09/12 01:22:00+00,811061058,
402817.8,132471.61,25140716,2025/09/14 18:03:12+00,DAY,OTHERS,THEFT/OTHER,2721 - 2899 BLOCK OF MARION BARRY AVENUE SE,402817.8,132471.61,7,7B,6,606,Cluster 35,007604 3,7604,Precinct 113,38.86005506,-76.96753404,,2025/09/14 16:01:00+00,2025/09/14 17:17:00+00,811061105,
400790.84,136927.6,25137718,2025/09/09 08:14:38+00,MIDNIGHT,OTHERS,BURGLARY,1100 - 1199 BLOCK OF H STREET NE,400790.84,136927.6,6,6A,1,104,Cluster 25,008410 1,8410,Precinct 82,38.90020052,-76.99088302,,2025/09/09 07:03:00+00,2025/09/09 08:00:00+00,811061175,
404600.8999,136168.3774,25148776,2025/09/29 16:36:21+00,DAY,OTHERS,THEFT/OTHER,300 - 499 BLOCK OF 40TH STREET NE,404600.8999,136168.3774,7,7F,6,603,Cluster 32,009603 2,9603,Precinct 102,38.89334948,-76.94696488,,2025/09/29 15:59:00+00,,811061231,
402670.2903,131549.2984,25142904,2025/09/18 22:41:38+00,EVENING,KNIFE,ROBBERY,2600 - 2799 BLOCK OF JASPER STREET SE,402670.2903,131549.2984,8,8B,7,702,Cluster 36,007408 1,7408,Precinct 115,38.85174695,-76.96923719,,2025/09/18 18:50:00+00,2025/09/18 19:10:00+00,811061263,
403654.3506,133385.0135,25147754,2025/09/27 15:03:39+00,DAY,OTHERS,THEFT F/AUTO,3300 - 3345 BLOCK OF PENNSYLVANIA AVENUE SE,403654.3506,133385.0135,7,7B,6,605,Cluster 34,009901 2,9901,Precinct 109,38.8682803,-76.95789066,,2025/09/27 13:31:00+00,,811061264,
399215,138016.22,25141071,2025/09/15 09:33:02+00,MIDNIGHT,OTHERS,ROBBERY,1500 - 1522 BLOCK OF NORTH CAPITOL STREET,399215,138016.22,5,5F,5,501,Cluster 21,010601 1,10601,Precinct 75,38.91000719,-77.0090509,NOMA,2025/09/15 08:18:00+00,2025/09/15 09:20:00+00,811061310,
401578.71,140348.92,25143160,2025/09/19 06:24:11+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1600 - 1699 BLOCK OF KEARNY STREET NE,401578.71,140348.92,5,5B,5,504,Cluster 22,009301 1,9301,Precinct 70,38.93101984,-76.98179241,,2025/09/19 05:48:00+00,2025/09/19 06:20:00+00,811061324,
401480.9,136535.43,25136940,2025/09/07 22:30:27+00,EVENING,OTHERS,BURGLARY,1500 - 1599 BLOCK OF F STREET NE,401480.9,136535.43,7,7D,5,507,Cluster 25,007901 3,7901,Precinct 81,38.89666682,-76.9829287,,2025/08/10 03:49:00+00,2025/09/07 22:20:00+00,811061329,
396578.06,137120.46,25137749,2025/09/09 13:27:07+00,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 17TH STREET NW,396578.06,137120.46,2,2C,2,207,Cluster 6,010700 1,10700,Precinct 17,38.90193156,-77.03944985,GOLDEN TRIANGLE,2025/09/09 11:53:00+00,2025/09/09 11:54:00+00,811061330,
402007.37,137094.36,25136221,2025/09/06 11:01:48+00,DAY,OTHERS,THEFT/OTHER,1800 - 1899 BLOCK OF I STREET NE,402007.37,137094.36,5,5D,5,507,Cluster 23,008904 1,8904,Precinct 79,38.90170081,-76.9768581,,2025/09/06 10:42:00+00,2025/09/06 10:50:00+00,811359650,
399269.86,138072.8,25136673,2025/09/07 07:40:58+00,MIDNIGHT,OTHERS,THEFT/OTHER,1 - 38 BLOCK OF FLORIDA AVENUE NE,399269.86,138072.8,5,5F,5,501,Cluster 21,010601 1,10601,Precinct 75,38.91051693,-77.00841844,NOMA,2025/09/07 06:47:00+00,2025/09/07 07:27:00+00,811359651,
398054.6,144485.69,25137339,2025/09/09 11:10:34+00,DAY,OTHERS,THEFT F/AUTO,6416 - 6499 BLOCK OF 7TH STREET NW,398054.6,144485.69,4,4B,4,402,Cluster 17,001901 4,1901,Precinct 59,38.96828427,-77.02244844,,2025/09/08 16:25:00+00,2025/09/08 17:52:00+00,811359652,
399215,138080.41,25137586,2025/09/09 01:05:26+00,EVENING,OTHERS,THEFT/OTHER,1521 - 1589 BLOCK OF NORTH CAPITOL STREET,399215,138080.41,5,5E,3,308,Cluster 21,004600 1,4600,Precinct 19,38.91058544,-77.00905097,,2025/07/07 19:00:00+00,2025/07/21 14:30:00+00,811359653,
397577.63,143785.94,25137924,2025/09/09 19:45:48+00,EVENING,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,397577.63,143785.94,4,4B,4,402,Cluster 17,001901 1,1901,Precinct 58,38.96197956,-77.02794983,,2025/09/09 18:03:00+00,2025/09/09 18:16:00+00,811359654,
397301.73,137919.21,25138452,2025/09/10 17:42:47+00,DAY,OTHERS,BURGLARY,1300 - 1399 BLOCK OF RHODE ISLAND AVENUE NW,397301.73,137919.21,2,2F,3,307,Cluster 7,005003 1,5003,Precinct 16,38.9091295,-77.03111016,,2025/09/09 20:30:00+00,2025/09/10 13:15:00+00,811359655,
395448.7,139704.33,25138723,2025/09/11 03:34:46+00,MIDNIGHT,OTHERS,THEFT/OTHER,2650 - 2699 BLOCK OF CONNECTICUT AVENUE NW,395448.7,139704.33,3,3C,2,204,Cluster 15,000501 3,501,Precinct 26,38.92520281,-77.05248681,,2025/09/10 10:30:00+00,2025/09/10 20:30:00+00,811359656,
400489.77,128759.2,25138802,2025/09/11 11:30:50+00,DAY,OTHERS,MOTOR VEHICLE THEFT,700 - 860 BLOCK OF SOUTHERN AVENUE SE,400489.77,128759.2,8,8E,7,706,Cluster 39,009811 2,9811,Precinct 125,38.8266164,-76.99435964,,2025/09/11 07:00:00+00,2025/09/11 11:00:00+00,811359657,
396284.01,139460.36,25138896,2025/09/11 15:23:49+00,DAY,OTHERS,THEFT F/AUTO,1800 - 1899 BLOCK OF ADAMS MILL ROAD NW,396284.01,139460.36,1,1C,3,303,Cluster 1,004001 1,4001,Precinct 25,38.92300898,-77.04285247,ADAMS MORGAN,2025/09/11 13:15:00+00,2025/09/11 15:02:00+00,811359658,
398758.71,145213.06,25138909,2025/09/11 14:59:09+00,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,1702,Precinct 63,38.97483787,-77.01432486,,2025/09/11 13:45:00+00,2025/09/11 14:15:00+00,811359659,
398008.56,139119.69,25140414,2025/09/14 01:11:55+00,EVENING,OTHERS,THEFT F/AUTO,2200 - 2399 BLOCK OF 8TH STREET NW,398008.56,139119.69,1,1E,3,305,Cluster 3,003500 3,3500,Precinct 37,38.91994571,-77.02296413,,2025/09/13 20:00:00+00,2025/09/14 00:00:00+00,811359660,
398091.68,140566.86,25140921,2025/09/15 01:06:17+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,500 - 699 BLOCK OF PARK ROAD NW,398091.68,140566.86,1,1E,4,409,Cluster 2,003200 2,3200,Precinct 43,38.93298246,-77.02200966,,2025/09/14 23:47:00+00,2025/09/15 00:59:00+00,811359661,
400338.7268,132270.1155,25141982,2025/09/17 04:24:53+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF EATON ROAD SE,400338.7268,132270.1155,8,8C,7,703,Cluster 37,007401 2,7401,Precinct 119,38.85824437,-76.99609738,,2025/09/16 14:45:00+00,2025/09/16 16:30:00+00,811359662,
397330.13,138792.9,25142209,2025/09/17 22:28:57+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF U STREET NW,397330.13,138792.9,1,1B,3,305,Cluster 3,004402 1,4402,Precinct 22,38.91700008,-77.03078611,,2025/09/17 13:57:00+00,2025/09/17 15:37:00+00,811359663,
397001.24,137426.67,25142573,2025/09/18 03:00:36+00,EVENING,OTHERS,BURGLARY,1100 - 1199 BLOCK OF 15TH STREET NW,397001.24,137426.67,2,2C,2,207,Cluster 8,010100 1,10100,Precinct 17,38.90469156,-77.03457256,DOWNTOWN,2025/09/18 00:54:00+00,2025/09/18 02:50:00+00,811360048,
406322.6459,135301.9992,25142917,2025/09/18 21:50:56+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,5100 - 5299 BLOCK OF BASS PLACE SE,406322.6459,135301.9992,7,7E,6,604,Cluster 33,009905 1,9905,Precinct 104,38.88553413,-76.92712609,,2025/09/18 19:12:00+00,2025/09/18 21:00:00+00,811360049,
406200.2,136724.59,25143222,2025/09/19 12:22:51+00,DAY,OTHERS,THEFT/OTHER,5000 - 5099 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,406200.2,136724.59,7,7C,6,602,Cluster 31,007804 1,7804,Precinct 97,38.89835022,-76.92852454,,2025/09/19 11:47:00+00,2025/09/19 12:23:00+00,811360050,
395767.97,138059.03,25145485,2025/09/23 18:47:05+00,DAY,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF 22ND STREET NW,395767.97,138059.03,2,2B,2,208,Cluster 6,005502 1,5502,Precinct 14,38.910383,-77.04879476,,2025/09/23 15:20:00+00,2025/09/23 16:00:00+00,811363406,
401257.0157,134458.2952,25145958,2025/09/24 14:12:50+00,DAY,OTHERS,ASSAULT W/DANGEROUS WEAPON,1000 - 1099 BLOCK OF 14TH STREET SE,401257.0157,134458.2952,6,6B,1,106,Cluster 26,007100 1,7100,Precinct 91,38.87795555,-76.98551336,,2025/09/24 11:19:00+00,2025/09/24 13:24:00+00,811363407,
397228.41,136778.64,25146485,2025/09/25 15:18:25+00,DAY,OTHERS,THEFT/OTHER,700 - 723 BLOCK OF 14TH STREET NW,397228.41,136778.64,2,2C,2,209,Cluster 8,005802 2,5802,Precinct 129,38.89885462,-77.03195091,DOWNTOWN,2025/09/25 12:15:00+00,2025/09/25 12:18:00+00,811363795,
404257.15,136006.91,25147724,2025/09/27 16:35:56+00,DAY,OTHERS,BURGLARY,3800 - 3825 BLOCK OF BLAINE STREET NE,404257.15,136006.91,7,7F,6,603,Cluster 32,009603 2,9603,Precinct 102,38.89189665,-76.95092833,,2025/09/27 13:48:00+00,2025/09/27 14:10:00+00,811363796,
394459.18,141888.04,25147968,2025/09/27 23:15:14+00,EVENING,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2,203,Cluster 12,001303 1,1303,Precinct 34,38.94486864,-77.06391585,,2025/09/27 22:32:00+00,2025/09/27 23:20:00+00,811363797,
405964.51,134419.23,25148016,2025/09/28 21:13:42+00,EVENING,OTHERS,THEFT/OTHER,5000 - 5069 BLOCK OF BENNING ROAD SE,405964.51,134419.23,7,7E,6,604,Cluster 33,007707 3,7707,Precinct 106,38.8775843,-76.93126157,,2025/09/28 00:43:00+00,2025/09/28 01:04:00+00,811363798,
398559,128329.55,25148020,2025/09/28 01:11:54+00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,INTERSTATE 295,398559,128329.55,8,8D,7,707,Cluster 44,010900 2,10900,Precinct 126,38.82274487,-77.01659415,,2025/09/27 23:21:00+00,2025/09/28 02:00:00+00,811363799,
397699.6,146051.38,25149364,2025/09/30 17:24:56+00,DAY,OTHERS,THEFT/OTHER,7600 - 7699 BLOCK OF GEORGIA AVENUE NW,397699.6,146051.38,4,4A,4,401,Cluster 16,001600 2,1600,Precinct 62,38.9823875,-77.02655012,,2025/09/25 11:10:00+00,2025/09/25 11:14:00+00,811363800,
391726.4,138717.2,25150913,2025/10/03 14:55:43+00,DAY,OTHERS,THEFT/OTHER,4812 - 4859 BLOCK OF MACARTHUR BOULEVARD NW,391726.4,138717.2,3,3D,2,205,Cluster 13,000804 2,804,Precinct 8,38.91628326,-77.09540145,,2025/10/03 14:29:00+00,2025/10/03 14:55:00+00,811363801,
393951.64,140624.87,25151493,2025/10/04 17:05:00+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3500 - 3599 BLOCK OF MACOMB STREET NW,393951.64,140624.87,3,3C,2,204,Cluster 15,000600 3,600,Precinct 27,38.93348629,-77.06975941,,2025/10/04 13:47:00+00,2025/10/04 16:00:00+00,811363802,
